FID,the_geom,NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7559,POINT (26.191944444444445 11.140555555555556),KARIO,110826,11.140556,0261131,26.191944,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7560,POINT (26.169444444444444 11.180833333333334),,111051,11.180833,0261010,26.169444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7561,POINT (26.154722222222222 11.224166666666667),,111327,11.224167,0260917,26.154722,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7562,POINT (26.190555555555555 11.231111111111112),,111352,11.231111,0261126,26.190556,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7563,POINT (26.14361111111111 11.2),,111200,11.2,0260837,26.143611,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7564,POINT (26.1475 11.174444444444445),,111028,11.174444,0260851,26.1475,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7565,POINT (26.145 11.144166666666667),,110839,11.144167,0260842,26.145,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7566,POINT (26.160555555555554 11.1375),,110815,11.1375,0260938,26.160556,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7567,POINT (26.148055555555555 11.112222222222222),,110644,11.112222,0260853,26.148056,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7568,POINT (26.12527777777778 11.1575),,110927,11.1575,0260731,26.125278,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7569,POINT (26.133333333333333 11.216944444444444),,111301,11.216944,0260800,26.133333,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7570,POINT (26.43611111111111 12.043055555555556),SHAQQ EL KHAD,120235,12.043056,0262610,26.436111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7571,POINT (26.505 12.017777777777777),EL MASHROT,120104,12.017778,0263018,26.505,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7572,POINT (26.383055555555554 11.948888888888888),,115656,11.948889,0262259,26.383056,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7573,POINT (26.404444444444444 12.167777777777777),,121004,12.167778,0262416,26.404444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7574,POINT (26.385555555555555 12.264166666666666),,121551,12.264167,0262308,26.385556,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7575,POINT (26.5525 12.336666666666666),BOBAYI TAWIESHA,122012,12.336667,0263309,26.5525,NO DAMAGE,,,0,0,0,0,
